Product ID,Product Name,Category,Verification Status,Confidence Score,Voltage,Current,IP Rating,Connector Type,Temp Min (C),Temp Max (C),Dynamic Attributes
prod_cf0fc16f,Submersible Deep-Well Groundwater Pressure Transducer. Rated,Industrial Sensor,needs_review,70%,24.0 V,45.0 A,IP20,M8,-25.0,70.0,
prod_7464c441,High-Pressure Hydraulic Flow Sensor Model FX-900. Operating ,Industrial Sensor,needs_review,80%,24.0 V,0.15 A,IP67,Threaded,-20.0,80.0,
prod_b380e6d8,Electrical connector - Wikipedia,Industrial Connector,needs_review,67%,12.0 V,0.006 A,IP65,socket,-25.0,70.0,
prod_824c3758,Sensor - Wikipedia,Industrial Sensor,needs_review,68%,0.0 V,1955.0 A,IP67,Threaded,-25.0,70.0,
prod_9366a540,Cs 8a6b0fb81cf690ccd20d580bc77de49e - Buy Cs 8a6b0fb81cf690c,Industrial Component,needs_review,60%,4.0 V,8.0 A,IP65,Threaded,-25.0,70.0,
prod_e022200c,Industrial AI Model Benchmark Dataset,Industrial Sensor,needs_review,67%,30.0 V,120.0 A,IP67,PNP,-25.0,70.0,
prod_2447df6d,Industrial AI Model Benchmark Dataset,Industrial Connector,needs_review,67%,30.0 V,120.0 A,IP67,PNP,-25.0,70.0,
prod_7d9d5f91,Cs 8a6b0fb81cf690ccd20d580bc77de49e - Buy Cs 8a6b0fb81cf690c,Industrial Component,needs_review,60%,4.0 V,8.0 A,IP65,Threaded,-25.0,70.0,
prod_8acfd0c3,,Industrial Connector,needs_review,48%,250.0 V,4.0 A,IP67,Threaded,-25.0,70.0,
prod_8190dfc9,DW-AD-511-M8,Industrial Connector,needs_review,75%,24.0 V,0.2 A,IP67,M8,-25.0,70.0,
prod_68a82282,Industrial AI Model Benchmark Dataset,Industrial Sensor,needs_review,67%,30.0 V,120.0 A,IP67,PNP,-25.0,70.0,
prod_04fd45db,Masked Test Dataset (Hidden & Messy Data),Industrial Sensor,needs_review,67%,24.0 V,0.2 A,IP67,M12,-25.0,70.0,
prod_c909a349,Masked Test Dataset (Hidden & Messy Data),Industrial Connector,needs_review,68%,24.0 V,0.2 A,IP67,M12,-25.0,70.0,
prod_800505c2,PRISM T,Industrial Sensor,needs_review,72%,30.0 V,0.2 A,IP67,PNP,-25.0,70.0,
prod_44ab4f1f,PRISM T,Industrial Sensor,needs_review,72%,30.0 V,0.2 A,IP67,PNP,-25.0,70.0,
prod_d2c0412f,Industrial AI Model Benchmark Dataset,Industrial Sensor,needs_review,67%,30.0 V,120.0 A,IP67,PNP,-25.0,70.0,
prod_c0f64a90,CUTFOX 10 - Cable-cutting tool,Industrial Component,needs_review,59%,240.0 V,2.0 A,IP65,Threaded,-25.0,70.0,
prod_3b3a7169,CUTFOX 10 - Cable-cutting tool,Industrial Component,needs_review,45%,24.0 V,2.0 A,IP65,Threaded,-25.0,70.0,
prod_02fbf640,"Online Shopping Site for Mobiles, Electronics, Furniture, Gr",Industrial Component,needs_review,54%,24.0 V,70.0 A,IP65,Threaded,-25.0,70.0,
prod_632c2c03,TE Connectivity Industrial RJ45 Plug,Industrial Connector,needs_review,59%,60.0 V,70.0 A,IP67,RJ45,-25.0,70.0,
prod_86c1619c,TE Connectivity Industrial RJ45 Plug,Industrial Connector,needs_review,41%,60.0 V,1.5 A,IP67,RJ45,-25.0,70.0,
prod_14ede98f,Phoenix Contact M12 Connector Product Page,Industrial Connector,needs_review,44%,250.0 V,4.0 A,IP67,M12,-25.0,70.0,
prod_46335d83,"Online Shopping Site for Mobiles, Electronics, Furniture, Gr",Industrial Connector,needs_review,59%,250.0 V,70.0 A,IP67,Threaded,-25.0,70.0,
prod_d84233ba,,Industrial Connector,needs_review,48%,250.0 V,4.0 A,IP67,Threaded,-25.0,70.0,
prod_efe59da0,DW-AD-511-M8,Industrial Connector,needs_review,76%,24.0 V,0.2 A,IP67,M8,-25.0,70.0,
sample_1,M12 4-Pin A-Coded Male Connector,Industrial Connector,verified,90%,250.0 V,12.0 A,IP67,M12,-40.0,85.0,
sample_2,Inductive Proximity Sensor M8,Industrial Sensor,needs_review,85%,30.0 V,0.2 A,IP68,M8,-25.0,70.0,
sample_3,Heavy-Duty RJ45 Field Plug,Industrial Connector,needs_review,80%,48.0 V,6.0 A,IP-677,RJ45,-25.0,70.0,
sample_4,High-Current Terminal Block 120A,Industrial Connector,needs_review,84%,600.0 V,120.0 A,IP20,Terminal Block,-30.0,100.0,
sample_5,Submersible Liquid Level Pressure Transmitter,Industrial Sensor,needs_review,80%,24.0 V,0.02 A,IP20,Threaded,-25.0,70.0,
sample_6,DIN Rail Modular Power Bus Connector,Industrial Connector,needs_review,69%,480.0 V,20.0 A,IP20,DIN rail,-25.0,70.0,
sample_7,Laser Photoelectric Distance Sensor,Industrial Sensor,needs_review,88%,30.0 V,0.05 A,IP65,Push-pull,-10.0,50.0,
sample_8,Push-Pull IP68 Waterproof Cable Socket,Industrial Connector,needs_review,81%,125.0 V,3.0 A,IP68,push-pull,-25.0,70.0,
